x	        y1	        y2	        y3	        y4	        y5	        y6
0	       0	        0	        0	        0	        0	        0
50	       58.0	        37.1	    376.4	    74.4	    95.5	    62.0
100	       161.1	    108.7	    860.7	    218.4	    278.8	    251.8
150	       216.8        183.4	    1239.5	    276.3	    336.7	    513.0
200	       435.1        286.1	    1531.6	    375.6	    435.3	    1024.1           
250	       507.8        406.6	    1704.9	    446.6	    572.9	    1494.6
300	       723.2	    503.7	    1800	    614.9	    674.8	    1800
350	       955.1        780.5	    1800	    725.7	    877.0	    1800
400	       1072	        1023.5        1800        866.3	    1028.5	    1800 
450	       1544	        1270        1800	    1068.0	    1202.6	    1800
500	       1800         1662.6	    1800	    1184.8	    1301.0	    1800
