x	        y1	        y2	        y3	        y4	        y5	        y6
0	       0	        0	        0	        0	        0	        0
50	       6.5	        9.4	        4.3	        7.5	        4.3	        19.3
100	       16.3	        22.7	    9.3	        18.0	    9.3	        90.4
150	       27.9	        40.7	    15.5	    40.7	    15.5	    188.1
200	       43.3	        63.1	    23.0	    50.6	    23.6	    407.3            
250	       69.1	        89.8	    33.4	    73.3	    33.3	    626.0 
300	       93.7	        133.9	    47.1	    100.9	    43.9	    1006.5 
350	       126.4        173.0	    58.2	    131.7	    55.1	    1408.4 
400	       162.5	    210.0	    68.8	    166.4	    73.5	    1800 
450	       205.9	    268.2       83.2	    203.3	    82.9	    1800
500	       248.7        317.3	    92.7	    230.8	    89.9	    1800
