x	        y1	        y2	        y3	        y4	        y5	        y6
0	       0	        0	        0	        0	        0	        0
50	       23.3	        38.0	    13.8	    23.5	    13.3	    74.6
100	       69.7	        108.9	    35.4	    60.4	    32.9	    404.1
150	       144.1        217.1	    62.9	    112.7	    62.5	    1125.8
200	       266.0        398.0	    99.5	    175.1	    102.2	    1800           
250	       463.3        691.0	    151.6	    264.8	    145.5	    1800
300	       781.3	    1030.0	    207.3	    374.8	    238.3	    1800
350	       1171.3       1759.0	    309.4	    514.0	    316.3	    1800
400	       1791.1	    1800	    405.5	    668.1	    423.9	    1800 
450	       1800	        1800        557.0	    895.5	    572.2	    1800
500	       1800         1800	    779.8	    957.7	    671.6	    1800
