x	        y1	        y2	     y3     y4      y5     y6
0	       0	        0	        0	        0	        0	        0
50	       5.3          5.1	     5.1    8.3     5.4    8.6
100	       10.4	        10.6	 9.5    16.6    12.3   18.2
150	       22.9	        21.9	 14.8   26.2    19.2   30.2
200	       24.4         31.9	 21.0   35.5    30.4   44.5
250	       31.3	        44.2	 27.6   46.2    40.1   61.0
300	       37.3	        80.8	 34.5   56.6    65.6   94.3
350	       47.6         94.7	 42.0   66.9    74.3   120.3
400	       58.5	        105.8    51.0   75.8    101.1  147.3
450	       66.3	        182.8    59.5   87.1    148.4  184.1
500	       75.0         194.8    71.3   100.1   199.3  234.7
